_changetype,_CUSTOMER1_FISCHER_ROLES_ALUM_VIEW.BANNER_ID,_CUSTOMER1_FISCHER_ROLES_ALUM_VIEW.ROLE
add,A00018263,ALUM
add,A00018269,ALUM
add,A00018296,ALUM
add,A00018316,ALUM
add,A00018327,ALUM
add,A00018340,ALUM
add,A00018363,ALUM
add,A00018446,ALUM
add,A00018472,ALUM
add,A00018475,ALUM
add,A00018539,ALUM
add,A00018555,ALUM
add,A00018616,ALUM
add,A00018645,ALUM
add,A00018709,ALUM
add,A00018722,ALUM
add,A00018731,ALUM
add,A00018745,ALUM
add,A00018782,ALUM
add,A00018918,ALUM
add,A00018931,ALUM
add,A00018942,ALUM
add,A00019156,ALUM
add,A00019207,ALUM
add,A00019214,ALUM
add,A00019276,ALUM
add,A00019303,ALUM
add,A00019347,ALUM
add,A00019518,ALUM
add,A00019520,ALUM
add,A00019556,ALUM
add,A00019569,ALUM
add,A00019574,ALUM
add,A00019705,ALUM
add,A00019741,ALUM
add,A00019751,ALUM
add,A00019800,ALUM
add,A00019808,ALUM
add,A00019818,ALUM
add,A00019930,ALUM
add,A00019939,ALUM
add,A00019968,ALUM
add,A00019978,ALUM
add,A00020011,ALUM
add,A00020014,ALUM
add,A00020035,ALUM
add,A00020129,ALUM
add,A00020176,ALUM
add,A00020285,ALUM
add,A00020298,ALUM
add,A00020344,ALUM
add,A00020469,ALUM
add,A00020480,ALUM
add,A00020526,ALUM
add,A00020536,ALUM
add,A00020591,ALUM
add,A00020810,ALUM
add,A00020872,ALUM
add,A00020944,ALUM
add,A00020984,ALUM
add,A00020992,ALUM
add,A00021037,ALUM
add,A00021040,ALUM
add,A00021041,ALUM
add,A00021125,ALUM
add,A00021201,ALUM
add,A00021211,ALUM
add,A00021233,ALUM
add,A00021277,ALUM
add,A00021280,ALUM
add,A00021303,ALUM
add,A00021328,ALUM
add,A00021351,ALUM
add,A00021398,ALUM
add,A00021573,ALUM
add,A00021634,ALUM
add,A00021698,ALUM
add,A00021729,ALUM
add,A00021789,ALUM
add,A00021816,ALUM
add,A00021899,ALUM
add,A00021995,ALUM
add,A00022010,ALUM
add,A00022074,ALUM
add,A00022101,ALUM
add,A00022230,ALUM
add,A00022253,ALUM
add,A00022289,ALUM
add,A00022335,ALUM
add,A00022338,ALUM
add,A00022341,ALUM
add,A00022346,ALUM
add,A00022472,ALUM
add,A00022532,ALUM
add,A00022538,ALUM
add,A00022555,ALUM
add,A00022596,ALUM
add,A00022636,ALUM
add,A00022842,ALUM
add,A00022848,ALUM
add,A00023071,ALUM
add,A00023089,ALUM
add,A00023140,ALUM
add,A00023144,ALUM
add,A00023219,ALUM
add,A00023226,ALUM
add,A00023298,ALUM
add,A00023300,ALUM
add,A00023369,ALUM
add,A00023431,ALUM
add,A00023440,ALUM
add,A00023504,ALUM
add,A00023583,ALUM
add,A00023626,ALUM
add,A00023629,ALUM
add,A00023876,ALUM
add,A00023878,ALUM
add,A00023914,ALUM
add,A00024204,ALUM
add,A00024251,ALUM
add,A00024279,ALUM
add,A00024353,ALUM
add,A00024386,ALUM
add,A00024563,ALUM
add,A00024650,ALUM
add,A00024671,ALUM
add,A00024770,ALUM
add,A00024771,ALUM
add,A00024773,ALUM
add,A00024814,ALUM
add,A00024849,ALUM
add,A00024884,ALUM
add,A00024886,ALUM
add,A00024928,ALUM
add,A00024941,ALUM
add,A00024942,ALUM
add,A00024951,ALUM
add,A00025059,ALUM
add,A00025115,ALUM
add,A00025116,ALUM
add,A00025147,ALUM
add,A00025193,ALUM
add,A00025194,ALUM
add,A00025195,ALUM
add,A00025196,ALUM
add,A00025200,ALUM
add,A00025298,ALUM
add,A00025301,ALUM
add,A00025436,ALUM
add,A00025462,ALUM
add,A00025479,ALUM
add,A00025543,ALUM
add,A00025554,ALUM
add,A00025585,ALUM
add,A00025597,ALUM
add,A00025624,ALUM
add,A00025625,ALUM
add,A00025642,ALUM
add,A00025701,ALUM
add,A00025812,ALUM
add,A00026038,ALUM
add,A00026107,ALUM
add,A00026385,ALUM
add,A00026388,ALUM
add,A00026392,ALUM
add,A00026527,ALUM
add,A00026531,ALUM
add,A00026535,ALUM
add,A00026646,ALUM
add,A00026647,ALUM
add,A00026811,ALUM
add,A00026954,ALUM
add,A00027031,ALUM
add,A00027082,ALUM
add,A00027129,ALUM
add,A00027218,ALUM
add,A00027237,ALUM
add,A00027241,ALUM
add,A00027250,ALUM
add,A00027251,ALUM
add,A00027252,ALUM
add,A00027398,ALUM
add,A00027478,ALUM
add,A00027516,ALUM
add,A00027528,ALUM
add,A00027555,ALUM
add,A00027616,ALUM
add,A00027644,ALUM
add,A00027645,ALUM
add,A00027740,ALUM
add,A00027805,ALUM
add,A00028038,ALUM
add,A00028074,ALUM
add,A00028181,ALUM
add,A00028270,ALUM
add,A00028279,ALUM
add,A00028284,ALUM
add,A00028323,ALUM
add,A00028383,ALUM
add,A00028390,ALUM
add,A00028406,ALUM
add,A00028419,ALUM
add,A00028426,ALUM
add,A00028428,ALUM
add,A00028432,ALUM
add,A00028446,ALUM
add,A00028475,ALUM
add,A00028531,ALUM
add,A00028613,ALUM
add,A00028676,ALUM
add,A00028695,ALUM
add,A00028748,ALUM
add,A00028752,ALUM
add,A00028776,ALUM
add,A00028878,ALUM
add,A00028965,ALUM
add,A00029025,ALUM
add,A00029072,ALUM
add,A00029083,ALUM
add,A00029100,ALUM
add,A00029111,ALUM
add,A00029126,ALUM
add,A00029192,ALUM
add,A00029393,ALUM
add,A00029406,ALUM
add,A00029419,ALUM
add,A00029535,ALUM
add,A00029585,ALUM
add,A00029627,ALUM
add,A00029674,ALUM
add,A00029833,ALUM
add,A00029965,ALUM
add,A00029988,ALUM
add,B00010044,ALUM
add,B00010077,ALUM
add,B00010174,ALUM
add,B00010177,ALUM
add,B00010180,ALUM
add,B00010469,ALUM
add,B00010603,ALUM
add,A00030380,ALUM
add,B00011557,ALUM
add,A00030432,ALUM
add,B00011683,ALUM
add,B00011711,ALUM
add,B00011759,ALUM
add,B00011806,ALUM
add,A00030605,ALUM
add,A00030618,ALUM
add,A00030626,ALUM
add,B00011867,ALUM
add,B00011877,ALUM
add,A00030700,ALUM
add,B00011892,ALUM
add,B00011897,ALUM
add,A00030710,ALUM
add,B00011901,ALUM
add,B00011990,ALUM
add,B00012034,ALUM
add,B00012036,ALUM
add,B00012054,ALUM
add,B00012074,ALUM
add,B00012079,ALUM
add,B00012082,ALUM
add,A00030886,ALUM
add,A00030890,ALUM
add,B00012212,ALUM
add,B00012218,ALUM
add,B00012246,ALUM
add,A00030976,ALUM
add,A00030982,ALUM
